joint,n_samples,pos_min,pos_max,pos_range_used,joint_upper_limit_rad,vel_std,vel_absmax,effort_min,effort_max,effort_std
rh_FFJ1,338693,-0.0193,1.602,1.6214,1.396,0.5145,2.8023,-634.85,678.791,129.011
rh_FFJ2,338693,0.0057,1.735,1.7292,1.5708,0.5145,2.8023,-634.85,678.791,129.011
rh_FFJ3,338693,-0.2808,1.5599,1.8407,1.5708,0.8154,4.0697,-646.278,645.084,181.823
rh_FFJ4,338693,-0.3792,0.4099,0.7891,0.3491,0.5367,2.7137,-266.235,472.55,91.774
rh_MFJ1,338693,-0.5307,1.6659,2.1966,1.396,0.5183,8.638,-604.851,625.472,103.931
rh_MFJ2,338693,-1.5166,2.7137,4.2303,1.5708,0.5183,8.638,-604.851,625.472,103.931
rh_MFJ3,338693,-0.3151,2.1515,2.4665,1.5708,0.9031,22.8453,-574.422,603.568,139.083
rh_MFJ4,338693,-0.3512,0.3651,0.7163,0.3491,0.5285,2.4895,-495.268,485.102,144.519
rh_RFJ1,338693,0.0168,1.6183,1.6015,1.396,0.5053,3.0249,-536.207,524.756,32.078
rh_RFJ2,338693,-0.0207,1.6936,1.7143,1.5708,0.5053,3.0249,-536.207,524.756,32.078
rh_RFJ3,338693,-0.4073,1.5601,1.9674,1.5708,0.8508,4.948,-580.77,556.872,98.974
rh_RFJ4,338693,-0.3609,0.352,0.7129,0.3491,0.5794,2.4251,-390.386,495.259,113.237
rh_THJ1,338693,-0.221,1.5899,1.8109,1.5708,0.8542,4.6038,-523.62,550.233,104.896
rh_THJ2,338693,-0.6734,0.7342,1.4076,0.6981,0.7413,2.9717,-551.333,595.159,135.194
rh_THJ4,338693,-0.0488,1.3348,1.3836,1.2217,0.5188,4.8906,-249.607,258.12,40.194
rh_THJ5,338693,-0.9999,1.061,2.061,1.0472,0.7996,3.1066,-299.855,233.608,47.867
