step,rh_FFJ1,rh_FFJ2
0,-0.255232,-0.000000
1,0.285800,-0.000000
2,0.318062,0.000000
3,0.718777,0.000000
4,1.397234,0.000000
5,1.565015,-0.000000
6,1.222791,-0.000000
7,0.872237,-0.000000
8,-0.190917,-0.000000
9,0.606756,-0.000000
10,0.146666,-0.000000
11,-0.803671,-0.000000
12,-1.583193,-0.000000
13,1.635767,-0.000000
14,-1.588126,-0.000000
15,-0.383041,-0.000000
16,1.275127,-0.000000
17,-0.184156,-0.000000
18,-1.199355,-0.000000
19,2.334624,-0.000000
20,-0.752325,0.000000
21,-0.075081,0.000000
22,-0.665493,-0.000000
23,2.099055,0.000000
24,-0.941791,0.000000
25,-0.094257,0.000000
26,0.544588,0.000000
27,-0.724238,0.000000
28,-0.350074,0.000000
29,-0.862380,0.000000
30,1.295381,0.000000
31,-0.747588,0.000000
32,-0.806205,0.000000
33,1.754909,-0.000000
34,-0.227524,0.000000
35,-0.952638,0.000000
36,0.113312,0.000000
37,2.036688,0.000000
38,-1.455456,0.000000
39,2.514709,0.000000
40,6.253342,0.000000
41,7.607938,0.000000
42,8.931269,-0.000000
43,9.435312,-0.000000
44,10.460634,0.000000
45,11.479864,0.000000
46,11.759436,0.000000
47,10.779025,-0.000000
48,9.830616,-0.000000
49,8.888685,-0.000000
50,7.063510,-0.000000
51,3.355918,-0.000000
52,-1.530560,-0.000000
53,-5.031086,-0.000000
54,-5.112237,-0.000000
55,-9.158197,-0.000000
56,-11.354903,-0.000000
57,-11.871012,-0.000000
58,-10.995421,-0.000000
59,-11.903992,-0.000000
60,-12.191624,-0.000000
61,-11.316219,-0.000000
62,-10.808492,-0.000000
63,-10.820290,-0.000000
64,-10.373644,-0.000000
65,-9.785492,-0.000000
66,-9.376800,-0.000000
67,-9.084070,-0.000000
68,-8.106307,-0.000000
69,-6.780327,-0.000000
70,-5.151166,-0.000000
71,-4.123260,-0.000000
72,-3.815370,-0.000000
73,-3.933696,-0.000000
74,-3.942003,-0.000000
75,-3.839990,-0.000000
76,-3.741413,-0.000000
77,-3.545099,-0.000000
78,-3.447805,-0.000000
79,-3.559587,-0.000000
80,-3.512641,-0.000000
81,-3.267230,-0.000000
82,-3.123537,-0.000000
83,-2.942600,-0.000000
84,-2.813751,-0.000000
85,-2.675951,-0.000000
86,-2.559840,-0.000000
87,-2.363997,-0.000000
88,-2.266563,-0.000000
89,-2.212677,-0.000000
90,-2.180103,-0.000000
91,-2.173742,-0.000000
92,-2.161198,-0.000000
93,-2.151212,-0.000000
94,-2.135826,-0.000000
95,-2.118631,-0.000000
96,-2.098264,-0.000000
97,-2.084451,-0.000000
98,-2.076044,-0.000000
99,-2.070703,-0.000000
100,-2.067579,-0.000000
101,-2.065418,-0.000000
102,-2.063751,-0.000000
103,-2.062249,-0.000000
104,-2.060819,-0.000000
105,-2.059666,-0.000000
106,-2.058667,-0.000000
107,-2.057957,-0.000000
108,-2.057468,-0.000000
109,-2.057077,-0.000000
110,-2.056763,-0.000000
111,-2.056612,-0.000000
112,-2.056504,-0.000000
113,-2.056317,-0.000000
114,-2.056226,-0.000000
115,-2.056188,-0.000000
116,-2.056241,-0.000000
117,-2.056180,-0.000000
118,-2.056144,-0.000000
119,-2.056127,-0.000000
120,-2.056087,-0.000000
121,-2.056136,-0.000000
122,-2.056084,-0.000000
123,-2.056040,-0.000000
124,-2.056027,-0.000000
125,-2.055983,-0.000000
126,-2.055963,-0.000000
127,-2.055904,-0.000000
128,-2.055927,-0.000000
129,-2.055995,-0.000000
130,-2.056015,-0.000000
131,-2.056017,-0.000000
132,-2.056025,-0.000000
133,-2.056018,-0.000000
134,-2.056040,-0.000000
135,-2.056026,-0.000000
136,-2.055987,-0.000000
137,-2.055944,-0.000000
138,-2.056031,-0.000000
139,-2.055983,-0.000000
140,-2.056015,-0.000000
141,-2.056056,-0.000000
142,-2.056046,-0.000000
143,-2.055988,-0.000000
144,-2.056015,-0.000000
145,-2.056051,-0.000000
146,-2.056017,-0.000000
147,-2.056045,-0.000000
148,-2.055989,-0.000000
149,-2.055980,-0.000000
150,-2.055922,-0.000000
151,-2.055961,-0.000000
152,-2.055970,-0.000000
153,-2.056025,-0.000000
154,-2.055990,-0.000000
155,-2.056009,-0.000000
156,-2.055974,-0.000000
157,-2.056035,-0.000000
158,-2.055995,-0.000000
159,-2.055998,-0.000000
160,-2.055993,-0.000000
161,-2.055979,-0.000000
162,-2.056037,-0.000000
163,-2.055973,-0.000000
164,-2.056013,-0.000000
165,-2.055919,-0.000000
166,-2.055996,-0.000000
167,-2.056053,-0.000000
168,-2.055990,-0.000000
169,-2.056020,-0.000000
170,-2.056020,-0.000000
171,-2.055955,-0.000000
172,-2.056007,-0.000000
173,-2.056030,-0.000000
174,-2.056017,-0.000000
175,-2.056022,-0.000000
176,-2.056031,-0.000000
177,-2.055982,-0.000000
178,-2.055948,-0.000000
179,-2.056025,-0.000000
180,-2.056021,-0.000000
181,-2.056039,-0.000000
182,-2.056002,-0.000000
183,-2.055971,-0.000000
184,-2.055977,-0.000000
185,-2.056002,-0.000000
186,-2.055996,-0.000000
187,-2.055969,-0.000000
