step,rh_FFJ1,rh_FFJ2
0,-0.255232,-0.000000
1,0.263892,-0.000000
2,0.231290,0.000000
3,0.555384,0.000000
4,0.747004,0.000000
5,1.283980,-0.000000
6,1.477687,-0.000000
7,1.156171,-0.000000
8,-0.075040,-0.000000
9,0.099195,-0.000000
10,0.025853,-0.000000
11,-1.126895,-0.000000
12,-0.369592,-0.000000
13,1.094798,-0.000000
14,-0.921635,0.000000
15,0.036853,0.000000
16,0.831288,0.000000
17,-0.590547,0.000000
18,-0.158796,0.000000
19,-1.309734,-0.000000
20,1.532802,-0.000000
21,0.426608,0.000000
22,-1.365950,0.000000
23,0.570718,0.000000
24,0.453585,0.000000
25,-1.343216,0.000000
26,0.007906,0.000000
27,1.968689,0.000000
28,-1.467395,0.000000
29,2.739005,0.000000
30,4.990981,0.000000
31,6.682033,0.000000
32,7.826161,0.000000
33,8.224977,0.000000
34,9.629661,0.000000
35,9.709626,0.000000
36,9.852872,0.000000
37,10.130371,0.000000
38,9.516617,-0.000000
39,8.932718,-0.000000
40,8.058544,-0.000000
41,6.847125,-0.000000
42,6.329118,-0.000000
43,5.837002,-0.000000
44,5.794441,-0.000000
45,4.846989,-0.000000
46,2.506654,-0.000000
47,-0.213184,-0.000000
48,-3.051772,-0.000000
49,-5.382235,-0.000000
50,-6.721086,-0.000000
51,-8.481200,-0.000000
52,-8.768045,-0.000000
53,-8.503865,-0.000000
54,-8.539534,-0.000000
55,-8.633971,-0.000000
56,-8.728685,-0.000000
57,-8.602859,-0.000000
58,-8.435987,-0.000000
59,-8.511539,-0.000000
60,-7.942206,-0.000000
61,-8.248906,-0.000000
62,-8.291314,-0.000000
63,-8.375504,-0.000000
64,-8.829207,-0.000000
65,-10.113636,-0.000000
66,-10.911645,-0.000000
67,-11.698707,-0.000000
68,-11.552279,-0.000000
69,-13.296165,-0.000000
70,-13.575731,-0.000000
71,-13.646965,-0.000000
72,-13.470674,-0.000000
73,-13.372876,-0.000000
74,-13.024876,-0.000000
75,-12.968058,-0.000000
76,-12.532134,-0.000000
77,-12.455721,-0.000000
78,-12.278899,-0.000000
79,-12.259909,-0.000000
80,-12.299107,-0.000000
81,-12.357519,-0.000000
82,-12.349602,-0.000000
83,-12.419229,-0.000000
84,-12.443539,-0.000000
85,-12.463645,-0.000000
86,-12.447660,-0.000000
87,-12.454378,-0.000000
88,-12.400208,-0.000000
89,-12.377699,-0.000000
90,-12.368383,-0.000000
91,-12.363460,-0.000000
92,-12.349079,-0.000000
93,-12.331228,-0.000000
94,-12.316038,-0.000000
95,-12.303513,-0.000000
96,-12.291812,-0.000000
97,-12.283303,-0.000000
98,-12.276492,-0.000000
99,-12.271419,-0.000000
100,-12.267671,-0.000000
101,-12.264966,-0.000000
102,-12.260998,-0.000000
103,-12.259808,-0.000000
104,-12.257183,-0.000000
105,-12.257805,-0.000000
106,-12.258827,-0.000000
107,-12.259587,-0.000000
108,-12.262004,-0.000000
109,-12.264222,-0.000000
110,-12.268529,-0.000000
111,-12.271919,-0.000000
112,-12.276363,-0.000000
113,-12.279581,-0.000000
114,-12.283228,-0.000000
115,-12.287115,-0.000000
116,-12.290802,-0.000000
117,-12.293191,-0.000000
118,-12.295809,-0.000000
119,-12.297194,-0.000000
120,-12.298821,-0.000000
121,-12.299603,-0.000000
122,-12.300491,-0.000000
123,-12.300537,-0.000000
124,-12.299967,-0.000000
125,-12.300275,-0.000000
126,-12.300009,-0.000000
127,-12.300392,-0.000000
128,-12.299978,-0.000000
129,-12.299703,-0.000000
130,-12.299015,-0.000000
131,-12.298401,-0.000000
132,-12.297105,-0.000000
133,-12.295413,-0.000000
134,-12.293772,-0.000000
135,-12.293076,-0.000000
136,-12.292233,-0.000000
137,-12.291903,-0.000000
138,-12.291782,-0.000000
139,-12.291134,-0.000000
140,-12.291526,-0.000000
141,-12.291802,-0.000000
142,-12.292185,-0.000000
143,-12.292132,-0.000000
144,-12.292352,-0.000000
145,-12.292389,-0.000000
146,-12.292194,-0.000000
147,-12.292274,-0.000000
148,-12.292545,-0.000000
149,-12.293385,-0.000000
150,-12.293838,-0.000000
151,-12.293941,-0.000000
152,-12.293653,-0.000000
153,-12.293835,-0.000000
154,-12.294620,-0.000000
155,-12.294909,-0.000000
156,-12.294884,-0.000000
157,-12.294744,-0.000000
158,-12.294753,-0.000000
159,-12.295356,-0.000000
160,-12.295842,-0.000000
161,-12.296172,-0.000000
162,-12.295162,-0.000000
163,-12.294936,-0.000000
164,-12.294949,-0.000000
165,-12.294525,-0.000000
166,-12.294036,-0.000000
167,-12.293308,-0.000000
168,-12.293235,-0.000000
169,-12.292794,-0.000000
170,-12.292905,-0.000000
171,-12.293385,-0.000000
172,-12.294082,-0.000000
173,-12.294168,-0.000000
174,-12.294120,-0.000000
175,-12.293737,-0.000000
176,-12.293790,-0.000000
177,-12.293994,-0.000000
178,-12.294263,-0.000000
179,-12.293922,-0.000000
180,-12.292705,-0.000000
181,-12.292137,-0.000000
182,-12.292090,-0.000000
183,-12.292360,-0.000000
184,-12.291880,-0.000000
185,-12.292036,-0.000000
186,-12.292745,-0.000000
187,-12.293378,-0.000000
188,-12.294501,-0.000000
189,-12.295248,-0.000000
190,-12.295183,-0.000000
191,-12.294811,-0.000000
192,-12.294593,-0.000000
193,-12.294759,-0.000000
194,-12.294711,-0.000000
195,-12.295188,-0.000000
196,-12.295254,-0.000000
197,-12.295059,-0.000000
198,-12.295490,-0.000000
199,-12.296314,-0.000000
200,-12.296827,-0.000000
201,-12.296782,-0.000000
202,-12.296318,-0.000000
203,-12.295575,-0.000000
204,-12.295556,-0.000000
205,-12.295308,-0.000000
206,-12.294624,-0.000000
207,-12.293418,-0.000000
208,-12.292297,-0.000000
209,-12.291875,-0.000000
210,-12.291574,-0.000000
211,-12.291284,-0.000000
212,-12.290478,-0.000000
213,-12.290221,-0.000000
214,-12.290214,-0.000000
215,-12.290566,-0.000000
216,-12.291542,-0.000000
217,-12.292070,-0.000000
218,-12.292750,-0.000000
219,-12.293402,-0.000000
220,-12.294048,-0.000000
221,-12.294501,-0.000000
222,-12.295425,-0.000000
223,-12.296124,-0.000000
224,-12.296576,-0.000000
225,-12.296672,-0.000000
226,-12.296448,-0.000000
227,-12.296928,-0.000000
228,-12.241487,-0.000000
229,-12.132984,-0.000000
230,-11.888426,-0.000000
231,-11.724514,-0.000000
232,-11.672834,-0.000000
233,-11.684075,-0.000000
234,-11.726725,-0.000000
235,-11.768168,-0.000000
236,-11.812472,-0.000000
