step,rh_FFJ1,rh_FFJ2
0,-0.005105,-0.018851
1,0.001781,-0.002392
2,0.006471,0.010779
3,0.009863,0.012126
4,0.012715,0.012615
5,0.007270,0.005879
6,-0.003741,-0.003234
7,-0.011907,-0.006091
8,-0.016941,-0.010726
9,-0.016399,-0.013192
10,-0.016917,-0.012891
11,-0.021831,-0.013747
12,-0.025253,-0.012890
13,-0.024278,-0.009619
14,-0.022132,-0.005224
15,-0.019974,-0.001188
16,-0.018362,0.001112
17,-0.017234,0.002194
18,-0.016529,0.002797
19,-0.016084,0.003130
20,-0.015660,0.003355
21,-0.015250,0.003606
22,-0.015062,0.003659
23,-0.014987,0.003656
24,-0.014922,0.003721
25,-0.014868,0.003810
26,-0.014830,0.003891
27,-0.014801,0.003958
28,-0.014778,0.004012
29,-0.014762,0.004054
30,-0.014750,0.004088
31,-0.014740,0.004116
32,-0.014730,0.004138
33,-0.014723,0.004154
34,-0.014717,0.004169
35,-0.014711,0.004181
36,-0.014708,0.004190
37,-0.014704,0.004198
38,-0.014703,0.004203
39,-0.014701,0.004209
40,-0.014698,0.004213
41,-0.014695,0.004217
42,-0.014693,0.004220
43,-0.014692,0.004223
44,-0.014691,0.004224
45,-0.014690,0.004226
46,-0.014689,0.004227
47,-0.014689,0.004228
48,-0.014689,0.004228
49,-0.014690,0.004228
50,-0.014690,0.004229
51,-0.014690,0.004229
52,-0.014690,0.004229
53,-0.014691,0.004229
54,-0.014691,0.004229
55,-0.014691,0.004229
56,-0.014691,0.004230
57,-0.014691,0.004230
58,-0.014691,0.004229
59,-0.014691,0.004229
60,-0.014692,0.004229
61,-0.014692,0.004229
62,-0.014692,0.004229
63,-0.014692,0.004229
64,-0.014692,0.004229
65,-0.014692,0.004229
66,-0.014692,0.004229
67,-0.014692,0.004229
68,-0.014692,0.004229
69,-0.014692,0.004229
70,-0.014692,0.004229
71,-0.014692,0.004229
72,-0.014692,0.004229
73,-0.014692,0.004229
74,-0.014692,0.004229
75,-0.014692,0.004229
76,-0.014692,0.004229
77,-0.014692,0.004229
78,-0.014692,0.004229
79,-0.014692,0.004229
80,-0.014692,0.004229
81,-0.014692,0.004229
82,-0.014692,0.004229
83,-0.014692,0.004229
84,-0.014692,0.004229
85,-0.014692,0.004229
86,-0.014692,0.004229
87,-0.014692,0.004229
88,-0.014692,0.004229
89,-0.014692,0.004229
90,-0.014692,0.004229
91,-0.014692,0.004229
92,-0.014692,0.004229
93,-0.014692,0.004229
94,-0.014692,0.004229
95,-0.014692,0.004229
96,-0.014692,0.004229
97,-0.014692,0.004229
98,-0.014692,0.004229
99,-0.014692,0.004229
100,-0.014692,0.004229
101,-0.014692,0.004229
102,-0.014692,0.004229
103,-0.014692,0.004229
104,-0.014692,0.004229
105,-0.014692,0.004229
106,-0.014692,0.004229
107,-0.014692,0.004229
108,-0.014692,0.004229
109,-0.014692,0.004229
110,-0.014692,0.004229
111,-0.014692,0.004229
112,-0.014692,0.004229
113,-0.014692,0.004229
114,-0.014692,0.004229
115,-0.014692,0.004229
116,-0.014692,0.004229
117,-0.014692,0.004229
118,-0.014692,0.004229
119,-0.014692,0.004229
120,-0.014692,0.004229
121,-0.014692,0.004229
122,-0.014692,0.004229
123,-0.014692,0.004229
124,-0.014692,0.004229
125,-0.014692,0.004229
126,-0.014692,0.004229
127,-0.014692,0.004229
128,-0.014692,0.004229
129,-0.014692,0.004229
130,-0.014692,0.004229
131,-0.014692,0.004229
132,-0.014692,0.004229
133,-0.014692,0.004229
134,-0.014692,0.004229
135,-0.014692,0.004229
136,-0.014692,0.004229
137,-0.014692,0.004229
138,-0.014692,0.004229
139,-0.014692,0.004229
140,-0.014692,0.004229
141,-0.014692,0.004229
142,-0.014692,0.004229
143,-0.014692,0.004229
144,-0.014692,0.004229
145,-0.014692,0.004229
146,-0.014692,0.004229
147,-0.014692,0.004229
148,-0.014692,0.004229
149,-0.014692,0.004229
150,-0.014692,0.004229
151,-0.014692,0.004229
152,-0.014692,0.004229
153,-0.014692,0.004229
154,-0.014692,0.004229
155,-0.014692,0.004229
156,-0.014692,0.004229
157,-0.014692,0.004229
158,-0.014692,0.004229
159,-0.014692,0.004229
160,-0.014692,0.004229
161,-0.014692,0.004229
162,-0.014692,0.004229
163,-0.014692,0.004229
164,-0.014692,0.004229
165,-0.014692,0.004229
166,-0.014692,0.004229
167,-0.014692,0.004229
168,-0.014692,0.004229
169,-0.014692,0.004229
170,-0.014692,0.004229
171,-0.014692,0.004229
172,-0.014692,0.004229
173,-0.014692,0.004229
